condition,condition_role,distance_cm,power_dbm,jammer_mode,method,train_seed,eval_seed,scan_id,scan_replicate,start_index,window_start,trajectory_seed,return,collisions,collision_rate,switches,switch_rate,steps,terminated,truncated
within_condition_pilot,transparent_pilot,20,10,sweeping,no_polynomial,3.0,1005,8,2,246,246,1164639609,92.60000000000008,0,0.0,74,0.74,100,False,True
within_condition_pilot,transparent_pilot,20,10,sweeping,no_polynomial,3.0,1006,9,2,381,381,1755513553,93.30000000000008,0,0.0,67,0.67,100,False,True
within_condition_pilot,transparent_pilot,20,10,sweeping,no_polynomial,3.0,1007,8,3,414,414,1968337963,93.00000000000009,0,0.0,70,0.7,100,False,True
within_condition_pilot,transparent_pilot,20,10,sweeping,no_polynomial,3.0,1008,9,3,540,540,1011379023,93.00000000000007,0,0.0,70,0.7,100,False,True
within_condition_pilot,transparent_pilot,20,10,sweeping,no_polynomial,3.0,1009,8,4,307,307,113591513,92.60000000000008,0,0.0,74,0.74,100,False,True
within_condition_pilot,transparent_pilot,20,10,sweeping,no_polynomial,3.0,1010,9,4,259,259,1879995497,92.60000000000008,0,0.0,74,0.74,100,False,True
within_condition_pilot,transparent_pilot,20,10,sweeping,no_polynomial,3.0,1011,8,5,375,375,35167692,92.70000000000007,0,0.0,73,0.73,100,False,True
within_condition_pilot,transparent_pilot,20,10,sweeping,no_polynomial,3.0,1012,9,5,26,26,1950703055,92.60000000000008,0,0.0,74,0.74,100,False,True
within_condition_pilot,transparent_pilot,20,10,sweeping,no_polynomial,3.0,1013,8,6,346,346,353600298,93.00000000000006,0,0.0,70,0.7,100,False,True
within_condition_pilot,transparent_pilot,20,10,sweeping,no_polynomial,3.0,1014,9,6,208,208,430395198,92.70000000000007,0,0.0,73,0.73,100,False,True
within_condition_pilot,transparent_pilot,20,10,sweeping,no_polynomial,3.0,1015,8,7,417,417,799679715,93.20000000000009,0,0.0,68,0.68,100,False,True
within_condition_pilot,transparent_pilot,20,10,sweeping,no_polynomial,3.0,1016,9,7,279,279,1468889584,92.60000000000008,0,0.0,74,0.74,100,False,True
within_condition_pilot,transparent_pilot,20,10,sweeping,no_polynomial,3.0,1017,8,8,482,482,498078359,92.70000000000007,0,0.0,73,0.73,100,False,True
within_condition_pilot,transparent_pilot,20,10,sweeping,no_polynomial,3.0,1018,9,8,300,300,1988742220,92.60000000000008,0,0.0,74,0.74,100,False,True
within_condition_pilot,transparent_pilot,20,10,sweeping,no_polynomial,3.0,1019,8,9,185,185,1321941717,92.60000000000008,0,0.0,74,0.74,100,False,True
within_condition_pilot,transparent_pilot,20,10,sweeping,no_polynomial,3.0,1020,9,9,160,160,199798587,92.70000000000007,0,0.0,73,0.73,100,False,True
within_condition_pilot,transparent_pilot,20,10,sweeping,no_polynomial,4.0,1001,8,0,141,141,417139048,96.30000000000004,0,0.0,37,0.37,100,False,True
within_condition_pilot,transparent_pilot,20,10,sweeping,no_polynomial,4.0,1002,9,0,102,102,616035509,96.30000000000004,0,0.0,37,0.37,100,False,True
within_condition_pilot,transparent_pilot,20,10,sweeping,no_polynomial,4.0,1003,8,1,171,171,53462609,96.10000000000005,0,0.0,39,0.39,100,False,True
within_condition_pilot,transparent_pilot,20,10,sweeping,no_polynomial,4.0,1004,9,1,252,252,54101657,96.30000000000004,0,0.0,37,0.37,100,False,True
within_condition_pilot,transparent_pilot,20,10,sweeping,no_polynomial,4.0,1005,8,2,246,246,1164639609,95.90000000000003,0,0.0,41,0.41,100,False,True
within_condition_pilot,transparent_pilot,20,10,sweeping,no_polynomial,4.0,1006,9,2,381,381,1755513553,96.30000000000004,0,0.0,37,0.37,100,False,True
within_condition_pilot,transparent_pilot,20,10,sweeping,no_polynomial,4.0,1007,8,3,414,414,1968337963,96.30000000000004,0,0.0,37,0.37,100,False,True
within_condition_pilot,transparent_pilot,20,10,sweeping,no_polynomial,4.0,1008,9,3,540,540,1011379023,96.30000000000004,0,0.0,37,0.37,100,False,True
within_condition_pilot,transparent_pilot,20,10,sweeping,no_polynomial,4.0,1009,8,4,307,307,113591513,96.30000000000004,0,0.0,37,0.37,100,False,True
within_condition_pilot,transparent_pilot,20,10,sweeping,no_polynomial,4.0,1010,9,4,259,259,1879995497,96.30000000000004,0,0.0,37,0.37,100,False,True
within_condition_pilot,transparent_pilot,20,10,sweeping,no_polynomial,4.0,1011,8,5,375,375,35167692,96.30000000000004,0,0.0,37,0.37,100,False,True
within_condition_pilot,transparent_pilot,20,10,sweeping,no_polynomial,4.0,1012,9,5,26,26,1950703055,96.30000000000004,0,0.0,37,0.37,100,False,True
within_condition_pilot,transparent_pilot,20,10,sweeping,no_polynomial,4.0,1013,8,6,346,346,353600298,96.30000000000004,0,0.0,37,0.37,100,False,True
within_condition_pilot,transparent_pilot,20,10,sweeping,no_polynomial,4.0,1014,9,6,208,208,430395198,96.30000000000004,0,0.0,37,0.37,100,False,True
within_condition_pilot,transparent_pilot,20,10,sweeping,no_polynomial,4.0,1015,8,7,417,417,799679715,96.30000000000004,0,0.0,37,0.37,100,False,True
within_condition_pilot,transparent_pilot,20,10,sweeping,no_polynomial,4.0,1016,9,7,279,279,1468889584,96.30000000000004,0,0.0,37,0.37,100,False,True
within_condition_pilot,transparent_pilot,20,10,sweeping,no_polynomial,4.0,1017,8,8,482,482,498078359,96.30000000000004,0,0.0,37,0.37,100,False,True
within_condition_pilot,transparent_pilot,20,10,sweeping,no_polynomial,4.0,1018,9,8,300,300,1988742220,96.30000000000004,0,0.0,37,0.37,100,False,True
within_condition_pilot,transparent_pilot,20,10,sweeping,no_polynomial,4.0,1019,8,9,185,185,1321941717,96.00000000000006,0,0.0,40,0.4,100,False,True
within_condition_pilot,transparent_pilot,20,10,sweeping,no_polynomial,4.0,1020,9,9,160,160,199798587,96.30000000000004,0,0.0,37,0.37,100,False,True
within_condition_pilot,transparent_pilot,20,10,sweeping,no_polynomial,5.0,1001,8,0,141,141,417139048,97.60000000000002,0,0.0,24,0.24,100,False,True
within_condition_pilot,transparent_pilot,20,10,sweeping,no_polynomial,5.0,1002,9,0,102,102,616035509,97.60000000000002,0,0.0,24,0.24,100,False,True
within_condition_pilot,transparent_pilot,20,10,sweeping,no_polynomial,5.0,1003,8,1,171,171,53462609,97.60000000000002,0,0.0,24,0.24,100,False,True
within_condition_pilot,transparent_pilot,20,10,sweeping,no_polynomial,5.0,1004,9,1,252,252,54101657,97.60000000000002,0,0.0,24,0.24,100,False,True
within_condition_pilot,transparent_pilot,20,10,sweeping,no_polynomial,5.0,1005,8,2,246,246,1164639609,97.60000000000004,0,0.0,24,0.24,100,False,True
within_condition_pilot,transparent_pilot,20,10,sweeping,no_polynomial,5.0,1006,9,2,381,381,1755513553,97.60000000000002,0,0.0,24,0.24,100,False,True
within_condition_pilot,transparent_pilot,20,10,sweeping,no_polynomial,5.0,1007,8,3,414,414,1968337963,97.60000000000004,0,0.0,24,0.24,100,False,True
within_condition_pilot,transparent_pilot,20,10,sweeping,no_polynomial,5.0,1008,9,3,540,540,1011379023,97.60000000000002,0,0.0,24,0.24,100,False,True
within_condition_pilot,transparent_pilot,20,10,sweeping,no_polynomial,5.0,1009,8,4,307,307,113591513,97.60000000000002,0,0.0,24,0.24,100,False,True
within_condition_pilot,transparent_pilot,20,10,sweeping,no_polynomial,5.0,1010,9,4,259,259,1879995497,97.60000000000002,0,0.0,24,0.24,100,False,True
within_condition_pilot,transparent_pilot,20,10,sweeping,no_polynomial,5.0,1011,8,5,375,375,35167692,97.60000000000002,0,0.0,24,0.24,100,False,True
within_condition_pilot,transparent_pilot,20,10,sweeping,no_polynomial,5.0,1012,9,5,26,26,1950703055,97.60000000000002,0,0.0,24,0.24,100,False,True
within_condition_pilot,transparent_pilot,20,10,sweeping,no_polynomial,5.0,1013,8,6,346,346,353600298,97.60000000000002,0,0.0,24,0.24,100,False,True
within_condition_pilot,transparent_pilot,20,10,sweeping,no_polynomial,5.0,1014,9,6,208,208,430395198,97.60000000000002,0,0.0,24,0.24,100,False,True
within_condition_pilot,transparent_pilot,20,10,sweeping,no_polynomial,5.0,1015,8,7,417,417,799679715,97.60000000000004,0,0.0,24,0.24,100,False,True
within_condition_pilot,transparent_pilot,20,10,sweeping,no_polynomial,5.0,1016,9,7,279,279,1468889584,97.60000000000002,0,0.0,24,0.24,100,False,True
within_condition_pilot,transparent_pilot,20,10,sweeping,no_polynomial,5.0,1017,8,8,482,482,498078359,97.60000000000002,0,0.0,24,0.24,100,False,True
within_condition_pilot,transparent_pilot,20,10,sweeping,no_polynomial,5.0,1018,9,8,300,300,1988742220,97.60000000000004,0,0.0,24,0.24,100,False,True
within_condition_pilot,transparent_pilot,20,10,sweeping,no_polynomial,5.0,1019,8,9,185,185,1321941717,97.60000000000004,0,0.0,24,0.24,100,False,True
within_condition_pilot,transparent_pilot,20,10,sweeping,no_polynomial,5.0,1020,9,9,160,160,199798587,97.60000000000002,0,0.0,24,0.24,100,False,True
within_condition_pilot,transparent_pilot,20,10,sweeping,no_polynomial,6.0,1001,8,0,141,141,417139048,96.40000000000005,0,0.0,36,0.36,100,False,True
within_condition_pilot,transparent_pilot,20,10,sweeping,no_polynomial,6.0,1002,9,0,102,102,616035509,96.30000000000004,0,0.0,37,0.37,100,False,True
within_condition_pilot,transparent_pilot,20,10,sweeping,no_polynomial,6.0,1003,8,1,171,171,53462609,96.30000000000004,0,0.0,37,0.37,100,False,True
within_condition_pilot,transparent_pilot,20,10,sweeping,no_polynomial,6.0,1004,9,1,252,252,54101657,96.30000000000004,0,0.0,37,0.37,100,False,True
within_condition_pilot,transparent_pilot,20,10,sweeping,no_polynomial,6.0,1005,8,2,246,246,1164639609,96.30000000000004,0,0.0,37,0.37,100,False,True
within_condition_pilot,transparent_pilot,20,10,sweeping,no_polynomial,6.0,1006,9,2,381,381,1755513553,96.30000000000004,0,0.0,37,0.37,100,False,True
within_condition_pilot,transparent_pilot,20,10,sweeping,no_polynomial,6.0,1007,8,3,414,414,1968337963,96.30000000000004,0,0.0,37,0.37,100,False,True
within_condition_pilot,transparent_pilot,20,10,sweeping,no_polynomial,6.0,1008,9,3,540,540,1011379023,96.30000000000004,0,0.0,37,0.37,100,False,True
within_condition_pilot,transparent_pilot,20,10,sweeping,no_polynomial,6.0,1009,8,4,307,307,113591513,96.30000000000004,0,0.0,37,0.37,100,False,True
within_condition_pilot,transparent_pilot,20,10,sweeping,no_polynomial,6.0,1010,9,4,259,259,1879995497,96.30000000000004,0,0.0,37,0.37,100,False,True
within_condition_pilot,transparent_pilot,20,10,sweeping,no_polynomial,6.0,1011,8,5,375,375,35167692,96.30000000000004,0,0.0,37,0.37,100,False,True
within_condition_pilot,transparent_pilot,20,10,sweeping,no_polynomial,6.0,1012,9,5,26,26,1950703055,96.30000000000004,0,0.0,37,0.37,100,False,True
within_condition_pilot,transparent_pilot,20,10,sweeping,no_polynomial,6.0,1013,8,6,346,346,353600298,96.30000000000004,0,0.0,37,0.37,100,False,True
within_condition_pilot,transparent_pilot,20,10,sweeping,no_polynomial,6.0,1014,9,6,208,208,430395198,96.30000000000004,0,0.0,37,0.37,100,False,True
within_condition_pilot,transparent_pilot,20,10,sweeping,no_polynomial,6.0,1015,8,7,417,417,799679715,96.30000000000004,0,0.0,37,0.37,100,False,True
within_condition_pilot,transparent_pilot,20,10,sweeping,no_polynomial,6.0,1016,9,7,279,279,1468889584,96.30000000000004,0,0.0,37,0.37,100,False,True
within_condition_pilot,transparent_pilot,20,10,sweeping,no_polynomial,6.0,1017,8,8,482,482,498078359,96.30000000000004,0,0.0,37,0.37,100,False,True
within_condition_pilot,transparent_pilot,20,10,sweeping,no_polynomial,6.0,1018,9,8,300,300,1988742220,96.30000000000004,0,0.0,37,0.37,100,False,True
within_condition_pilot,transparent_pilot,20,10,sweeping,no_polynomial,6.0,1019,8,9,185,185,1321941717,96.30000000000004,0,0.0,37,0.37,100,False,True
within_condition_pilot,transparent_pilot,20,10,sweeping,no_polynomial,6.0,1020,9,9,160,160,199798587,96.30000000000004,0,0.0,37,0.37,100,False,True
within_condition_pilot,transparent_pilot,20,10,sweeping,no_polynomial,7.0,1001,8,0,141,141,417139048,97.50000000000004,0,0.0,25,0.25,100,False,True
within_condition_pilot,transparent_pilot,20,10,sweeping,no_polynomial,7.0,1002,9,0,102,102,616035509,97.30000000000005,0,0.0,27,0.27,100,False,True
within_condition_pilot,transparent_pilot,20,10,sweeping,no_polynomial,7.0,1003,8,1,171,171,53462609,97.50000000000004,0,0.0,25,0.25,100,False,True
within_condition_pilot,transparent_pilot,20,10,sweeping,no_polynomial,7.0,1004,9,1,252,252,54101657,97.20000000000003,0,0.0,28,0.28,100,False,True
within_condition_pilot,transparent_pilot,20,10,sweeping,no_polynomial,7.0,1005,8,2,246,246,1164639609,97.10000000000002,0,0.0,29,0.29,100,False,True
within_condition_pilot,transparent_pilot,20,10,sweeping,no_polynomial,7.0,1006,9,2,381,381,1755513553,97.50000000000004,0,0.0,25,0.25,100,False,True
within_condition_pilot,transparent_pilot,20,10,sweeping,no_polynomial,7.0,1007,8,3,414,414,1968337963,97.50000000000004,0,0.0,25,0.25,100,False,True
within_condition_pilot,transparent_pilot,20,10,sweeping,no_polynomial,7.0,1008,9,3,540,540,1011379023,97.30000000000004,0,0.0,27,0.27,100,False,True
within_condition_pilot,transparent_pilot,20,10,sweeping,no_polynomial,7.0,1009,8,4,307,307,113591513,97.50000000000004,0,0.0,25,0.25,100,False,True
within_condition_pilot,transparent_pilot,20,10,sweeping,no_polynomial,7.0,1010,9,4,259,259,1879995497,97.20000000000003,0,0.0,28,0.28,100,False,True
within_condition_pilot,transparent_pilot,20,10,sweeping,no_polynomial,7.0,1011,8,5,375,375,35167692,97.50000000000004,0,0.0,25,0.25,100,False,True
within_condition_pilot,transparent_pilot,20,10,sweeping,no_polynomial,7.0,1012,9,5,26,26,1950703055,97.40000000000003,0,0.0,26,0.26,100,False,True
within_condition_pilot,transparent_pilot,20,10,sweeping,no_polynomial,7.0,1013,8,6,346,346,353600298,97.50000000000004,0,0.0,25,0.25,100,False,True
within_condition_pilot,transparent_pilot,20,10,sweeping,no_polynomial,7.0,1014,9,6,208,208,430395198,97.40000000000003,0,0.0,26,0.26,100,False,True
within_condition_pilot,transparent_pilot,20,10,sweeping,no_polynomial,7.0,1015,8,7,417,417,799679715,97.50000000000004,0,0.0,25,0.25,100,False,True
within_condition_pilot,transparent_pilot,20,10,sweeping,no_polynomial,7.0,1016,9,7,279,279,1468889584,97.50000000000004,0,0.0,25,0.25,100,False,True
within_condition_pilot,transparent_pilot,20,10,sweeping,no_polynomial,7.0,1017,8,8,482,482,498078359,97.20000000000005,0,0.0,28,0.28,100,False,True
within_condition_pilot,transparent_pilot,20,10,sweeping,no_polynomial,7.0,1018,9,8,300,300,1988742220,97.50000000000004,0,0.0,25,0.25,100,False,True
within_condition_pilot,transparent_pilot,20,10,sweeping,no_polynomial,7.0,1019,8,9,185,185,1321941717,97.30000000000004,0,0.0,27,0.27,100,False,True
within_condition_pilot,transparent_pilot,20,10,sweeping,no_polynomial,7.0,1020,9,9,160,160,199798587,97.20000000000003,0,0.0,28,0.28,100,False,True
within_condition_pilot,transparent_pilot,20,10,sweeping,no_polynomial,8.0,1001,8,0,141,141,417139048,97.40000000000003,0,0.0,26,0.26,100,False,True
within_condition_pilot,transparent_pilot,20,10,sweeping,no_polynomial,8.0,1002,9,0,102,102,616035509,97.40000000000003,0,0.0,26,0.26,100,False,True
within_condition_pilot,transparent_pilot,20,10,sweeping,no_polynomial,8.0,1003,8,1,171,171,53462609,96.80000000000007,0,0.0,32,0.32,100,False,True
within_condition_pilot,transparent_pilot,20,10,sweeping,no_polynomial,8.0,1004,9,1,252,252,54101657,97.40000000000003,0,0.0,26,0.26,100,False,True
within_condition_pilot,transparent_pilot,20,10,sweeping,no_polynomial,8.0,1005,8,2,246,246,1164639609,95.80000000000001,0,0.0,42,0.42,100,False,True
within_condition_pilot,transparent_pilot,20,10,sweeping,no_polynomial,8.0,1006,9,2,381,381,1755513553,97.40000000000003,0,0.0,26,0.26,100,False,True
within_condition_pilot,transparent_pilot,20,10,sweeping,no_polynomial,8.0,1007,8,3,414,414,1968337963,97.40000000000003,0,0.0,26,0.26,100,False,True
within_condition_pilot,transparent_pilot,20,10,sweeping,no_polynomial,8.0,1008,9,3,540,540,1011379023,97.40000000000003,0,0.0,26,0.26,100,False,True
within_condition_pilot,transparent_pilot,20,10,sweeping,no_polynomial,8.0,1009,8,4,307,307,113591513,97.40000000000003,0,0.0,26,0.26,100,False,True
within_condition_pilot,transparent_pilot,20,10,sweeping,no_polynomial,8.0,1010,9,4,259,259,1879995497,97.60000000000004,0,0.0,24,0.24,100,False,True
within_condition_pilot,transparent_pilot,20,10,sweeping,no_polynomial,8.0,1011,8,5,375,375,35167692,97.40000000000003,0,0.0,26,0.26,100,False,True
within_condition_pilot,transparent_pilot,20,10,sweeping,no_polynomial,8.0,1012,9,5,26,26,1950703055,97.60000000000004,0,0.0,24,0.24,100,False,True
within_condition_pilot,transparent_pilot,20,10,sweeping,no_polynomial,8.0,1013,8,6,346,346,353600298,97.40000000000003,0,0.0,26,0.26,100,False,True
within_condition_pilot,transparent_pilot,20,10,sweeping,no_polynomial,8.0,1014,9,6,208,208,430395198,97.40000000000003,0,0.0,26,0.26,100,False,True
within_condition_pilot,transparent_pilot,20,10,sweeping,no_polynomial,8.0,1015,8,7,417,417,799679715,97.40000000000003,0,0.0,26,0.26,100,False,True
within_condition_pilot,transparent_pilot,20,10,sweeping,no_polynomial,8.0,1016,9,7,279,279,1468889584,97.40000000000003,0,0.0,26,0.26,100,False,True
within_condition_pilot,transparent_pilot,20,10,sweeping,no_polynomial,8.0,1017,8,8,482,482,498078359,97.40000000000003,0,0.0,26,0.26,100,False,True
within_condition_pilot,transparent_pilot,20,10,sweeping,no_polynomial,8.0,1018,9,8,300,300,1988742220,97.40000000000003,0,0.0,26,0.26,100,False,True
within_condition_pilot,transparent_pilot,20,10,sweeping,no_polynomial,8.0,1019,8,9,185,185,1321941717,96.40000000000008,0,0.0,36,0.36,100,False,True
within_condition_pilot,transparent_pilot,20,10,sweeping,no_polynomial,8.0,1020,9,9,160,160,199798587,97.60000000000004,0,0.0,24,0.24,100,False,True
within_condition_pilot,transparent_pilot,20,10,sweeping,no_polynomial,9.0,1001,8,0,141,141,417139048,95.70000000000005,0,0.0,43,0.43,100,False,True
within_condition_pilot,transparent_pilot,20,10,sweeping,no_polynomial,9.0,1002,9,0,102,102,616035509,95.70000000000005,0,0.0,43,0.43,100,False,True
within_condition_pilot,transparent_pilot,20,10,sweeping,no_polynomial,9.0,1003,8,1,171,171,53462609,95.50000000000007,0,0.0,45,0.45,100,False,True
within_condition_pilot,transparent_pilot,20,10,sweeping,no_polynomial,9.0,1004,9,1,252,252,54101657,96.10000000000005,0,0.0,39,0.39,100,False,True
within_condition_pilot,transparent_pilot,20,10,sweeping,no_polynomial,9.0,1005,8,2,246,246,1164639609,95.50000000000003,0,0.0,45,0.45,100,False,True
within_condition_pilot,transparent_pilot,20,10,sweeping,no_polynomial,9.0,1006,9,2,381,381,1755513553,96.10000000000008,0,0.0,39,0.39,100,False,True
within_condition_pilot,transparent_pilot,20,10,sweeping,no_polynomial,9.0,1007,8,3,414,414,1968337963,96.20000000000005,0,0.0,38,0.38,100,False,True
within_condition_pilot,transparent_pilot,20,10,sweeping,no_polynomial,9.0,1008,9,3,540,540,1011379023,96.30000000000005,0,0.0,37,0.37,100,False,True
within_condition_pilot,transparent_pilot,20,10,sweeping,no_polynomial,9.0,1009,8,4,307,307,113591513,96.90000000000002,0,0.0,31,0.31,100,False,True
